name,country,city,creditCard,month,year
Camilo,Colombia,Manizales,1234567890123456,12,2026
María García,España,Madrid,4111111111111111,03,2027
Juan Pérez,México,Guadalajara,5500000000000004,06,2028
Ana Rodríguez,Argentina,Buenos Aires,340000000000009,09,2026
Carlos López,Chile,Santiago,6011111111111117,11,2027
Laura Martínez,Perú,Lima,3530111333300000,01,2028
Pedro Sánchez,Ecuador,Quito,4916338506082832,04,2026
Sofia Hernández,Uruguay,Montevideo,5425233430109903,07,2027
Diego Torres,Venezuela,Caracas,4539578763621486,10,2028
Valentina Díaz,Costa Rica,San José,4024007198964305,02,2026
Andrés Morales,Panamá,Ciudad de Panamá,5168441223630339,08,2027
